x,y,z,timestamp
2.56419,-0.046686932,9.379285,2019-01-04 11:37:36.061
2.80361,-0.089782566,9.436746,2019-01-04 11:37:36.21
2.7509377,-0.08499416,9.340978,2019-01-04 11:37:36.373
2.779668,-0.4441244,8.986636,2019-01-04 11:37:36.532
3.1723173,-1.459266,8.354567,2019-01-04 11:37:36.693
4.259285,-2.8383262,6.803124,2019-01-04 11:37:36.854
5.896919,-3.776853,6.7121444,2019-01-04 11:37:37.012
6.3470287,-3.9348705,5.8023477,2019-01-04 11:37:37.173
6.361394,-4.0880995,6.587646,2019-01-04 11:37:37.336
6.7684083,-4.787206,6.894104,2019-01-04 11:37:37.495
7.0700774,-5.007473,5.931635,2019-01-04 11:37:37.655
6.2704144,-4.71538,5.400122,2019-01-04 11:37:37.816
6.160281,-4.9643774,5.261258,2019-01-04 11:37:37.989
6.5577183,-5.1080294,6.659472,2019-01-04 11:37:38.137
4.201824,-6.1279593,8.215703,2019-01-04 11:37:38.3
2.6551697,-2.8383262,8.775947,2019-01-04 11:37:38.458
3.7469256,-3.9636009,9.657013,2019-01-04 11:37:38.618
3.0334535,-2.4552538,6.941988,2019-01-04 11:37:38.781
3.7373488,-2.9101522,8.742428,2019-01-04 11:37:38.941
5.1116204,-3.5182793,7.7129207,2019-01-04 11:37:39.1
4.9536033,-4.7441106,7.4016747,2019-01-04 11:37:39.261
5.0637364,-5.1463366,6.740875,2019-01-04 11:37:39.423
5.058948,-4.796783,6.8893156,2019-01-04 11:37:39.582
5.145139,-4.8255134,6.7265096,2019-01-04 11:37:39.743
5.1020436,-5.0745106,7.9571295,2019-01-04 11:37:39.903
5.221754,-4.638766,7.0329676,2019-01-04 11:37:40.065
2.4301147,-6.7025676,5.117606,2019-01-04 11:37:40.224
2.3918076,-7.4735007,5.357026,2019-01-04 11:37:40.387
1.3383588,-8.996213,3.120842,2019-01-04 11:37:40.545
1.4820108,-9.340978,2.7665,2019-01-04 11:37:40.706
0.33758244,-8.632295,2.8191724,2019-01-04 11:37:40.866
0.7493851,-9.15423,3.1878796,2019-01-04 11:37:41.029
0.19871874,-9.27394,3.240552,2019-01-04 11:37:41.187
0.055066638,-8.028955,5.064934,2019-01-04 11:37:41.349
0.7733272,-9.522937,3.819949,2019-01-04 11:37:41.51
0.15083471,-8.177396,5.064934,2019-01-04 11:37:41.671
-0.08738836,-6.027403,6.63553,2019-01-04 11:37:41.83
0.50038815,-8.402451,5.5246205,2019-01-04 11:37:41.99
0.39504328,-7.157466,5.1607018,2019-01-04 11:37:42.153
1.8171991,-6.5110316,3.6858735,2019-01-04 11:37:42.311
4.84347,-8.574833,3.657143,2019-01-04 11:37:42.474
4.6471453,-8.565256,3.642778,2019-01-04 11:37:42.632
4.0677485,-8.421604,2.8383262,2019-01-04 11:37:42.793
4.3023806,-8.186973,2.292448,2019-01-04 11:37:43.015
4.259285,-8.311471,3.7098155,2019-01-04 11:37:43.115
4.584896,-7.8039002,2.1583729,2019-01-04 11:37:43.275
4.1922474,-6.803124,4.068946,2019-01-04 11:37:43.435
6.969521,-6.731298,4.0066967,2019-01-04 11:37:43.596
5.853823,-5.4192758,5.5868697,2019-01-04 11:37:43.758
5.116409,-3.1735144,6.649895,2019-01-04 11:37:43.917
5.3941364,-2.3882163,6.2285156,2019-01-04 11:37:44.078
4.757279,-1.9716251,7.023391,2019-01-04 11:37:44.239
8.707711,-3.0107086,6.381745,2019-01-04 11:37:44.401
6.4523735,-3.1160536,6.4152637,2019-01-04 11:37:44.559
6.232107,-3.2501287,6.721721,2019-01-04 11:37:44.722
4.9536033,-3.867833,7.430405,2019-01-04 11:37:44.882
3.359065,-4.3897686,8.148665,2019-01-04 11:37:45.042
2.3678656,-4.1695023,8.694544,2019-01-04 11:37:45.201
3.2345665,-3.8774097,8.5700445,2019-01-04 11:37:45.364
3.0382419,-3.9252937,8.498219,2019-01-04 11:37:45.524
2.5833437,-4.0162735,8.632295,2019-01-04 11:37:45.683
2.5833437,-4.092888,8.574833,2019-01-04 11:37:45.843
2.4732103,-4.0402155,8.656237,2019-01-04 11:37:46.007
2.4540567,-3.9636009,8.651448,2019-01-04 11:37:46.165
2.4636335,-3.954024,8.651448,2019-01-04 11:37:46.325
2.4779987,-4.021062,8.656237,2019-01-04 11:37:46.485
2.3439236,-4.021062,8.656237,2019-01-04 11:37:46.648
2.5258827,-3.8247373,8.67539,2019-01-04 11:37:46.806
2.3199813,-4.0258503,8.689755,2019-01-04 11:37:46.967
2.348712,-4.0785227,8.661025,2019-01-04 11:37:47.128
2.492364,-3.9492357,8.598776,2019-01-04 11:37:47.29
2.2098482,-3.9396589,8.728063,2019-01-04 11:37:47.449
2.372654,-3.9923313,8.747216,2019-01-04 11:37:47.609
2.492364,-4.0019083,8.656237,2019-01-04 11:37:47.772
2.717419,-3.8869865,9.173384,2019-01-04 11:37:47.932
-0.40342298,-6.266823,10.14543,2019-01-04 11:37:48.09
1.2425907,-3.5326445,9.1255,2019-01-04 11:37:48.251
-2.1511903,-4.404134,7.0904284,2019-01-04 11:37:48.413
-1.8016368,-4.8638206,5.333084,2019-01-04 11:37:48.574
0.19871874,-8.531737,4.2173862,2019-01-04 11:37:48.732
4.201824,-13.008895,-2.456451,2019-01-04 11:37:48.893
0.21787235,-7.5788455,-3.5003228,2019-01-04 11:37:49.055
1.0510546,-8.139089,-3.514688,2019-01-04 11:37:49.215
1.0702082,-7.6841903,-5.33907,2019-01-04 11:37:49.377
0.81163436,-8.095993,-4.381389,2019-01-04 11:37:49.535
