,timestamp,x,y,z,label
144,2019-03-05 11:18:46.767000,-6.657,-8.449,9.215,1
145,2019-03-05 11:18:46.827000,-6.657,-8.449,9.471,1
146,2019-03-05 11:18:46.916000,-6.657,-8.449,9.471,1
147,2019-03-05 11:18:46.977000,-6.657,-8.449,9.215,1
148,2019-03-05 11:18:47.037000,-6.657,-8.449,9.471,1
149,2019-03-05 11:18:47.097000,-6.657,-8.449,9.215,1
150,2019-03-05 11:18:47.157000,-6.657,-8.449,9.471,1
151,2019-03-05 11:18:47.247000,-6.657,-8.449,9.471,1
152,2019-03-05 11:18:47.307000,-6.657,-8.449,9.471,1
153,2019-03-05 11:18:47.367000,-6.657,-8.449,9.215,1
154,2019-03-05 11:18:47.427000,-6.657,-8.449,9.471,1
155,2019-03-05 11:18:47.487000,-6.657,-8.449,9.471,1
156,2019-03-05 11:18:47.577000,-6.657,-8.449,9.471,1
157,2019-03-05 11:18:47.637000,-6.657,-8.449,9.215,1
158,2019-03-05 11:18:47.697000,-6.657,-8.449,9.215,1
159,2019-03-05 11:18:47.757000,-6.657,-8.449,9.471,1
160,2019-03-05 11:18:47.817000,-6.657,-8.449,9.471,1
161,2019-03-05 11:18:47.907000,-6.657,-8.449,9.471,1
162,2019-03-05 11:18:47.967000,-6.657,-8.449,9.215,1
163,2019-03-05 11:18:48.027000,-6.657,-8.449,9.471,1
164,2019-03-05 11:18:48.087000,-6.657,-8.449,9.471,1
165,2019-03-05 11:18:48.147000,-6.657,-8.449,9.471,1
166,2019-03-05 11:18:48.237000,-6.657,-8.449,9.471,1
167,2019-03-05 11:18:48.297000,-6.657,-8.449,9.215,1
168,2019-03-05 11:18:48.357000,-6.657,-8.449,9.471,1
169,2019-03-05 11:18:48.416000,-6.657,-8.449,9.471,1
170,2019-03-05 11:18:48.477000,-6.657,-8.449,9.215,1
171,2019-03-05 11:18:48.567000,-6.657,-8.449,9.215,1
172,2019-03-05 11:18:48.627000,-6.657,-8.449,9.471,1
173,2019-03-05 11:18:48.687000,-6.657,-8.449,9.471,1
174,2019-03-05 11:18:48.747000,-6.657,-8.449,9.471,1
175,2019-03-05 11:18:48.807000,-6.657,-8.449,9.471,1
176,2019-03-05 11:18:48.897000,-6.657,-8.449,9.471,1
177,2019-03-05 11:18:48.957000,-6.657,-8.449,9.471,1
178,2019-03-05 11:18:49.017000,-6.657,-8.449,9.471,1
179,2019-03-05 11:18:49.077000,-6.657,-8.449,9.471,1
180,2019-03-05 11:18:49.137000,-6.657,-8.449,9.471,1
181,2019-03-05 11:18:49.227000,-6.657,-8.449,9.471,1
182,2019-03-05 11:18:49.287000,-6.657,-8.449,9.471,1
183,2019-03-05 11:18:49.347000,-6.657,-8.449,9.215,1
184,2019-03-05 11:18:49.407000,-6.657,-8.449,9.471,1
185,2019-03-05 11:18:49.467000,-6.657,-8.449,9.471,1
186,2019-03-05 11:18:49.557000,-6.657,-8.449,9.471,1
187,2019-03-05 11:18:49.616000,-6.657,-8.449,9.471,1
188,2019-03-05 11:18:49.677000,-6.657,-8.449,9.215,1
189,2019-03-05 11:18:49.737000,-6.657,-8.449,9.471,1
190,2019-03-05 11:18:49.797000,-6.657,-8.449,9.215,1
191,2019-03-05 11:18:49.887000,-6.657,-8.449,9.471,1
192,2019-03-05 11:18:49.947000,-6.657,-8.449,9.471,1
193,2019-03-05 11:18:50.007000,-6.657,-8.449,9.215,1
194,2019-03-05 11:18:50.067000,-6.657,-8.449,9.471,1
195,2019-03-05 11:18:50.127000,-6.657,-8.449,9.471,1
196,2019-03-05 11:18:50.216000,-6.657,-8.449,9.471,1
197,2019-03-05 11:18:50.277000,-6.657,-8.449,9.471,1
198,2019-03-05 11:18:50.337000,-6.657,-8.449,9.471,1
199,2019-03-05 11:18:50.397000,-6.657,-8.449,9.471,1
200,2019-03-05 11:18:50.457000,-6.657,-8.449,9.471,1
201,2019-03-05 11:18:50.547000,-6.657,-8.449,9.471,1
202,2019-03-05 11:18:50.607000,-6.657,-8.449,9.471,1
203,2019-03-05 11:18:50.666000,-6.657,-8.449,9.471,1
204,2019-03-05 11:18:50.727000,-6.657,-8.449,9.471,1
205,2019-03-05 11:18:50.787000,-6.657,-8.449,9.471,1
206,2019-03-05 11:18:50.877000,-6.657,-8.449,9.215,1
207,2019-03-05 11:18:50.937000,-6.657,-8.449,9.471,1
208,2019-03-05 11:18:50.997000,-6.657,-8.449,9.471,1
209,2019-03-05 11:18:51.057000,-6.657,-8.449,9.215,1
210,2019-03-05 11:18:51.116000,-6.657,-8.449,9.471,1
211,2019-03-05 11:18:51.206000,-6.913,-8.449,10.495,1
212,2019-03-05 11:18:51.267000,-6.657,-8.449,8.959,1
213,2019-03-05 11:18:51.327000,-6.657,-8.449,9.215,1
214,2019-03-05 11:18:51.387000,-6.657,-8.449,9.471,1
215,2019-03-05 11:18:51.447000,-6.913,-8.449,9.471,1
216,2019-03-05 11:18:51.536000,-6.913,-8.449,9.215,1
217,2019-03-05 11:18:51.597000,-6.657,-8.449,9.471,1
218,2019-03-05 11:18:51.656000,-6.657,-8.449,9.215,1
219,2019-03-05 11:18:51.716000,-6.913,-8.449,9.215,1
220,2019-03-05 11:18:51.777000,-6.657,-8.449,9.215,1
221,2019-03-05 11:18:51.867000,-6.657,-8.449,9.215,1
222,2019-03-05 11:18:51.927000,-6.657,-8.449,9.215,1
223,2019-03-05 11:18:51.987000,-6.657,-8.705,9.215,1
224,2019-03-05 11:18:52.047000,-6.657,-8.449,9.215,1
225,2019-03-05 11:18:52.107000,-6.657,-8.449,9.215,1
226,2019-03-05 11:18:52.196000,-6.657,-8.449,9.215,1
227,2019-03-05 11:20:32.765000,-5.121,-4.865,4.863,2
228,2019-03-05 11:20:32.767000,-5.121,-4.865,4.863,2
229,2019-03-05 11:20:32.826000,-5.121,-4.865,4.863,2
230,2019-03-05 11:20:32.886000,-5.121,-5.121,4.863,2
231,2019-03-05 11:20:32.976000,-5.121,-4.865,4.863,2
232,2019-03-05 11:20:33.036000,-5.121,-4.865,4.863,2
233,2019-03-05 11:20:33.096000,-5.121,-4.865,4.863,2
234,2019-03-05 11:20:33.156000,-5.121,-5.121,4.863,2
235,2019-03-05 11:20:33.216000,-5.121,-4.865,4.863,2
236,2019-03-05 11:20:33.306000,-5.121,-4.865,4.863,2
237,2019-03-05 11:20:33.366000,-5.121,-4.865,4.863,2
238,2019-03-05 11:20:33.426000,-5.121,-5.121,4.863,2
239,2019-03-05 11:20:33.486000,-5.121,-4.865,4.863,2
240,2019-03-05 11:20:33.546000,-5.121,-4.865,4.863,2
241,2019-03-05 11:20:33.636000,-5.121,-5.121,4.863,2
242,2019-03-05 11:20:33.696000,-5.121,-4.865,4.863,2
243,2019-03-05 11:20:33.756000,-5.121,-4.865,4.863,2
244,2019-03-05 11:20:33.816000,-5.121,-5.121,4.863,2
245,2019-03-05 11:20:33.876000,-5.121,-4.865,4.863,2
246,2019-03-05 11:20:33.966000,-5.121,-4.865,4.863,2
247,2019-03-05 11:20:34.025000,-5.121,-4.865,4.863,2
248,2019-03-05 11:20:34.086000,-5.121,-4.865,4.863,2
249,2019-03-05 11:20:34.146000,-5.121,-4.865,4.863,2
250,2019-03-05 11:20:34.206000,-5.121,-4.865,4.863,2
251,2019-03-05 11:20:34.296000,-5.121,-4.865,4.863,2
252,2019-03-05 11:20:34.356000,-5.121,-5.121,4.863,2
253,2019-03-05 11:20:34.416000,-5.121,-5.121,4.863,2
254,2019-03-05 11:20:34.476000,-5.121,-4.865,4.863,2
255,2019-03-05 11:20:34.536000,-5.121,-5.121,4.863,2
256,2019-03-05 11:20:34.626000,-5.121,-4.865,4.863,2
257,2019-03-05 11:20:34.686000,-5.121,-4.865,4.863,2
258,2019-03-05 11:20:34.746000,-5.121,-4.865,4.863,2
259,2019-03-05 11:20:34.806000,-5.121,-5.121,4.863,2
260,2019-03-05 11:20:34.866000,-5.121,-4.865,4.863,2
261,2019-03-05 11:20:34.956000,-5.121,-4.865,4.863,2
262,2019-03-05 11:20:35.016000,-5.121,-4.865,4.863,2
263,2019-03-05 11:20:35.076000,-5.121,-4.865,4.863,2
264,2019-03-05 11:20:35.136000,-5.121,-4.865,4.863,2
265,2019-03-05 11:20:35.196000,-5.121,-4.865,4.863,2
266,2019-03-05 11:20:35.286000,-5.121,-5.121,4.863,2
267,2019-03-05 11:20:35.346000,-5.121,-4.865,4.863,2
268,2019-03-05 11:20:35.406000,-5.121,-4.865,4.863,2
269,2019-03-05 11:20:35.466000,-5.121,-4.865,4.863,2
270,2019-03-05 11:20:35.526000,-5.121,-5.121,4.863,2
271,2019-03-05 11:20:35.616000,-5.121,-4.865,4.863,2
272,2019-03-05 11:20:35.676000,-5.121,-5.121,4.863,2
273,2019-03-05 11:20:35.736000,-5.121,-4.865,4.863,2
274,2019-03-05 11:20:35.796000,-5.121,-5.121,4.863,2
275,2019-03-05 11:20:35.856000,-5.121,-4.865,4.863,2
276,2019-03-05 11:20:35.946000,-5.121,-5.121,4.863,2
277,2019-03-05 11:20:36.006000,-5.121,-4.865,4.863,2
278,2019-03-05 11:20:36.065000,-5.121,-4.865,4.863,2
279,2019-03-05 11:20:36.067000,-5.121,-4.865,4.863,2
280,2019-03-05 11:20:36.126000,-5.121,-4.865,4.863,2
281,2019-03-05 11:20:36.186000,-5.121,-4.865,4.863,2
282,2019-03-05 11:20:36.276000,-5.121,-5.121,4.863,2
283,2019-03-05 11:20:36.336000,-5.121,-5.121,4.863,2
284,2019-03-05 11:20:36.396000,-5.121,-4.865,4.863,2
