,ID,active count,date,from,inactive count,sit,sit count,sleep,sleep count,stand,stand count,to,total,total count,transition count,walk,walk count
71,11,0,19-04-12,23:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,24:0:0,0:0:00,10,0,0:0:00,0
72,11,0,19-04-11,0:0:0,10,0:0:00,2,1:0:00,8,0:0:00,0,1:0:0,1:0:00,10,0,0:0:00,0
73,11,0,19-04-11,1:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,2:0:0,0:0:00,10,0,0:0:00,0
74,11,0,19-04-11,2:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,3:0:0,0:0:00,10,0,0:0:00,0
75,11,0,19-04-11,3:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,4:0:0,0:0:00,10,0,0:0:00,0
76,11,0,19-04-11,4:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,5:0:0,0:0:00,10,0,0:0:00,0
77,11,0,19-04-11,5:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,6:0:0,0:0:00,10,0,0:0:00,0
78,11,0,19-04-11,6:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,7:0:0,0:0:00,10,0,0:0:00,0
79,11,0,19-04-11,7:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,8:0:0,0:0:00,10,0,0:0:00,0
80,11,0,19-04-11,8:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,9:0:0,0:0:00,10,0,0:0:00,0
81,11,0,19-04-11,9:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,10:0:0,0:0:00,10,0,0:0:00,0
82,11,0,19-04-11,10:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,11:0:0,0:0:00,10,0,0:0:00,0
83,11,0,19-04-11,11:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,12:0:0,0:0:00,10,0,0:0:00,0
84,11,0,19-04-11,12:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,13:0:0,0:0:00,10,0,0:0:00,0
85,11,0,19-04-11,13:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,14:0:0,0:0:00,10,0,0:0:00,0
86,11,0,19-04-11,14:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,15:0:0,0:0:00,10,0,0:0:00,0
87,11,0,19-04-11,15:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,16:0:0,0:0:00,10,0,0:0:00,0
88,11,0,19-04-11,16:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,17:0:0,0:0:00,10,0,0:0:00,0
89,11,0,19-04-11,17:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,18:0:0,0:0:00,10,0,0:0:00,0
90,11,0,19-04-11,18:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,19:0:0,0:0:00,10,0,0:0:00,0
91,11,0,19-04-11,19:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,20:0:0,0:0:00,10,0,0:0:00,0
92,11,0,19-04-11,20:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,21:0:0,0:0:00,10,0,0:0:00,0
93,11,0,19-04-11,21:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,22:0:0,0:0:00,10,0,0:0:00,0
94,11,0,19-04-11,22:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,23:0:0,0:0:00,10,0,0:0:00,0
95,11,0,19-04-11,23:0:0,10,0:0:00,2,0:15:39,8,0:0:00,0,24:0:0,0:15:39,10,0,0:0:00,0
