,date,time,x,y,z,label
205,2018-10-21,18:46:7,8.8920651,-5.01226127,0.68713588,running
206,2018-10-21,18:46:8,3.80079538,-9.04529392,-0.40132808,running
207,2018-10-21,18:46:9,7.55634,-7.18787232,1.23971764,running
208,2018-10-21,18:46:10,3.8600516,-8.46978772,1.20458275,running
209,2018-10-21,18:46:11,5.19781195,-8.07803642,0.48273092,running
210,2018-10-21,18:46:12,8.65982775,-13.32463005,1.62087451,running
211,2018-10-21,18:46:13,2.5613169,-6.72746764,1.79924254,running
212,2018-10-21,18:46:14,0.42975903,-3.18548535,0.82240829,running
213,2018-10-21,18:46:15,10.0400846,-13.83220082,1.99317288,running
214,2018-10-21,18:46:16,5.53240149,-6.55442615,2.03866274,running
215,2018-10-21,18:46:17,11.9793879,-14.93263632,0.32501285,running
216,2018-10-21,18:46:18,7.76559332,-17.9651318,2.82970694,running
217,2018-10-21,18:46:19,12.12663137,-6.6935894,2.36666838,running
218,2018-10-21,18:46:20,14.69740528,-11.65257945,1.68462015,running
219,2018-10-21,18:46:21,4.84945562,-11.33175668,4.18865584,running
220,2018-10-21,18:46:22,10.06259032,-14.54549386,1.77530054,running
221,2018-10-21,18:46:23,8.6759884,-8.24592975,1.08726685,running
222,2018-10-22,16:7:2,10.89122325,-4.82072515,1.23181679,walking
223,2018-10-22,16:7:3,10.2316209,-4.19464138,1.72861367,walking
224,2018-10-22,16:7:4,10.378864,-3.43927078,1.35870948,walking
225,2018-10-22,16:7:5,10.14471156,-4.61482382,1.55575223,walking
226,2018-10-22,16:7:6,10.33457175,-3.65355185,1.47003985,walking
227,2018-10-22,16:7:7,9.6474356,-3.7804445,1.4018051,walking
228,2018-10-22,16:7:8,11.39640038,-3.10408252,1.74657016,walking
229,2018-10-22,16:7:9,9.38143986,-4.59471246,1.29047474,walking
230,2018-10-22,16:7:10,11.71482875,-3.80678073,1.36948341,walking
231,2018-10-22,16:7:11,9.9155865,-3.59489398,1.51104053,walking
232,2018-10-22,16:7:12,9.85692838,-3.39617508,1.6771383,walking
233,2018-10-22,16:7:13,9.5863836,-3.77302246,1.87753296,walking
234,2018-10-22,16:7:14,8.2192945,-3.43208813,1.8363527,walking
235,2018-10-22,16:7:15,9.9203749,-4.19583845,2.46004222,walking
236,2018-10-22,16:7:16,9.69531975,-4.06774873,2.2086511,walking
237,2018-10-22,16:7:17,9.12071125,-4.01747047,1.82318461,walking
238,2018-10-22,16:7:18,9.34409012,-3.57861334,1.74154234,walking
239,2018-10-22,16:7:19,9.16979258,-3.82114582,1.6986861,walking
240,2018-10-22,16:7:20,9.29189692,-3.56017798,1.15400522,walking
241,2018-10-22,16:7:21,9.437943,-3.6894649,1.43652101,walking
242,2018-10-22,16:7:22,9.5662724,-3.74429206,1.697489,walking
243,2018-10-22,16:7:23,9.67257475,-3.59130255,1.34314715,walking
244,2018-10-22,16:7:24,8.61074615,-3.5158852,1.13155959,walking
245,2018-10-22,16:7:25,8.77834062,-3.8043865,1.7492636,walking
246,2018-10-22,16:7:26,10.2060032,-3.37366964,1.5768212,walking
247,2018-10-22,16:45:26,8.65982765,-5.49828405,0.49350483,walking
248,2018-10-22,16:45:27,9.1961288,-4.5207316,0.88082681,walking
249,2018-10-22,16:45:28,10.22563548,-4.93804093,1.25097035,walking
250,2018-10-22,16:45:29,8.87171445,-5.16070168,1.42455,walking
251,2018-10-22,16:45:30,9.97424452,-4.78600925,1.15161097,walking
252,2018-10-22,16:45:31,8.90499392,-4.61266894,1.41425494,walking
253,2018-10-22,16:45:32,9.63666175,-4.54898318,1.47243402,walking
254,2018-10-22,16:45:33,9.1530329,-4.7321398,1.48081371,walking
255,2018-10-22,16:45:34,8.98903032,-4.27484715,1.19261174,walking
256,2018-10-22,16:45:35,8.8666866,-4.7256754,0.85496944,walking
257,2018-10-22,16:45:36,9.15063875,-4.89135405,1.09774146,walking
258,2018-10-22,16:45:37,8.9710738,-4.4783543,0.73142862,walking
259,2018-10-22,16:45:38,9.46547625,-4.54060355,0.50068744,walking
260,2018-10-22,16:45:39,9.92971208,-4.65480694,0.95265285,walking
261,2018-10-22,16:45:40,8.36174925,-3.74213725,1.17914432,walking
262,2018-10-22,16:45:41,8.11754113,-4.7333368,1.55263978,walking
263,2018-10-22,16:45:42,9.6653922,-4.69742375,1.08457334,walking
264,2018-10-22,16:45:43,9.3852705,-4.67348162,0.42377371,walking
265,2018-10-22,16:45:44,10.4248328,-4.92487288,0.42137952,walking
266,2018-10-22,16:45:45,8.56884768,-4.4388498,1.21415951,walking
267,2018-10-22,16:45:46,9.48822175,-4.09169065,1.4305355,walking
268,2018-10-22,16:45:47,10.14782425,-4.09887335,1.23181675,walking
269,2018-10-22,16:45:48,9.1444139,-4.1702206,1.1384429,walking
270,2018-10-22,16:45:49,9.41639555,-4.55018035,1.39701671,walking
271,2018-10-22,16:45:50,9.5744129,-4.0677486,1.91775558,walking
272,2018-10-22,17:6:48,-1.55742818,-4.2987891,8.7196824,sitting
273,2018-10-22,17:6:49,-1.6065093,-4.38976855,8.68855812,sitting
274,2018-10-22,17:6:50,-1.6232687,-4.37181215,8.68017825,sitting
275,2018-10-22,17:6:51,-1.6256629,-4.40413395,8.69095225,sitting
276,2018-10-22,17:6:52,-1.63595796,-4.38593802,8.6861639,sitting
277,2018-10-22,17:6:53,-1.638831,-4.39216285,8.688558,sitting
278,2018-10-22,17:6:54,-1.66037888,-4.41610513,8.66701038,sitting
279,2018-10-22,17:6:55,-1.6448165,-4.41131665,8.68257262,sitting
280,2018-10-22,17:6:56,-1.64840782,-4.40652785,8.67778425,sitting
281,2018-10-22,17:6:57,-1.64936552,-4.4060494,8.6813758,sitting
282,2018-10-22,17:6:58,-1.661576,-4.45082118,8.65863063,sitting
283,2018-10-22,17:6:59,-1.6472107,-4.40892235,8.67658725,sitting
284,2018-10-22,17:7:0,-1.65798465,-4.4220907,8.67539,sitting
285,2018-10-22,17:7:1,-1.65798468,-4.40700718,8.676587,sitting
286,2018-10-22,17:7:2,-1.638831,-4.38737425,8.6825725,sitting
287,2018-10-22,17:7:3,-1.66157598,-4.4220906,8.6694045,sitting
288,2018-10-22,17:7:4,-1.66157598,-4.41251375,8.67658712,sitting
