date,time,x,y,z,heart rate,label
2018-10-21,18:45:57,-0.36272156,1.76452665,9.30027625,80.24797,running
2018-10-21,18:45:58,-0.20709845,2.38103355,9.12430275,82.24907,running
2018-10-21,18:45:59,-0.55186348,-0.92775314,9.52533125,84.87602,running
2018-10-21,18:46:0,-0.46375687,0.38426938,9.5686662,87.427666,running
2018-10-21,18:46:1,-0.49799395,0.79966338,9.487024,91.002464,running
2018-10-21,18:46:2,-0.49081135,1.18991826,8.76636975,97.16495,running
2018-10-21,18:46:3,13.69124238,-6.54694445,0.05805939,107.45787,running
2018-10-21,18:46:4,9.334753,-4.24204654,0.57149592,91.52907,running
2018-10-21,18:46:5,9.76834275,-4.44124428,0.58298812,91.52907,running
2018-10-21,18:46:6,8.8920651,-5.01226128,0.68713588,91.99695,running
2018-10-21,18:46:7,3.80079538,-9.04529392,-0.40132808,91.99695,running
2018-10-21,18:46:8,7.55634,-7.18787232,1.23971764,119.59471,running
2018-10-21,18:46:9,3.8600516,-8.46978772,1.20458275,116.91196,running
2018-10-21,18:46:10,5.19781195,-8.07803642,0.48273092,111.54646,running
2018-10-21,18:46:11,8.65982775,-13.32463005,1.62087451,105.9895,running
2018-10-21,18:46:12,2.5613169,-6.72746764,1.79924254,99.44117,running
2018-10-21,18:46:13,0.42975903,-3.18548535,0.82240829,91.610176,running
2018-10-21,18:46:14,10.0400846,-13.83220082,1.99317288,90.44986,running
2018-10-21,18:46:15,5.53240149,-6.55442615,2.03866274,88.99556,running
2018-10-21,18:46:16,11.9793879,-14.93263632,0.32501285,89.65647,running
2018-10-21,18:46:17,7.76559332,-17.9651318,2.82970694,90.9783,running
2018-10-21,18:46:18,12.12663137,-6.6935894,2.36666838,93.62197,running
2018-10-21,18:46:19,14.69740528,-11.65257945,1.68462015,94.19441,running
2018-10-21,18:46:20,4.84945562,-11.33175668,4.18865584,94.326065,running
2018-10-21,18:46:21,10.06259032,-14.54549386,1.77530054,94.16557,running
2018-10-21,18:46:22,8.6759884,-8.24592975,1.08726685,93.84459,running
2018-10-21,18:46:23,2.7976246,-7.2233067,2.3774424,93.60332,running
2018-10-21,18:46:56,-0.03671109,-0.48921522,9.65421933,93.12077,running
2018-10-21,18:46:57,0.23415292,0.69647328,9.5179092,92.357666,running
2018-10-21,18:46:58,0.25378538,0.94930096,9.5181485,91.29729,running
2018-10-21,18:46:59,0.24301148,0.79846624,9.5133605,89.354095,running
2018-10-21,18:47:0,0.27413609,0.48722004,9.592369,86.71722,running
2018-10-21,18:47:1,0.07092822,0.46686934,9.519346,82.08887,running
2018-10-21,18:47:2,0.61052146,0.10606315,9.543767,74.73161,running
