date,time,heart rate
2018-10-21,17:42:01.43,114.61
2018-10-21,17:42:02.558,114.20568
2018-10-21,17:42:03.697,113.77573000000001
2018-10-21,17:42:57.423,112.809875
2018-10-21,17:42:58.57,112.36030600000001
2018-10-21,17:42:59.684,110.89363
2018-10-21,17:43:45.046,109.39203
2018-10-21,17:43:46.136,108.623695
2018-10-21,17:43:47.236,107.956116
2018-10-21,17:43:48.437,107.62233
2018-10-21,17:43:49.56,107.45543
2018-10-21,17:43:50.654,102.31481
2018-10-21,17:43:51.738,92.6252
2018-10-21,17:43:52.838,87.780396
2018-10-21,17:43:53.948,85.29021999999999
2018-10-21,17:43:55.097,84.1129
2018-10-21,17:43:56.198,83.52425
2018-10-21,17:43:57.296,83.321915
2018-10-21,17:43:58.398,83.59091
2018-10-21,17:43:59.537,90.811325
2018-10-21,17:44:00.688,94.42154000000001
2018-10-21,17:44:01.827,96.22664
2018-10-21,17:44:02.93,95.43259
2018-10-21,17:44:04.039,95.03555
2018-10-21,17:44:05.126,94.837036
2018-10-21,17:44:06.288,94.75455500000001
2018-10-21,17:44:07.378,95.10306
2018-10-21,17:44:08.478,95.32028000000001
2018-10-21,17:44:09.579,96.04303
2018-10-21,17:44:10.693,96.82907
2018-10-21,17:44:11.878,97.85385
2018-10-21,17:44:13.028,98.36624
2018-10-21,17:44:25.402,99.55705
2018-10-21,17:44:26.481,99.455505
2018-10-21,17:44:27.591,99.204865
2018-10-21,17:44:28.779,99.079544
2018-10-21,17:45:57.7,97.59875500000001
2018-10-21,17:45:58.841,96.85835
2018-10-21,17:45:59.94,95.677216
2018-10-21,17:46:01.04,95.08665
2018-10-21,17:46:02.141,95.35197
2018-10-21,17:46:03.232,95.77904000000001
2018-10-21,17:46:04.34,96.43469
2018-10-21,17:46:05.431,96.93524000000001
2018-10-21,17:46:06.554,97.30972
2018-10-21,17:46:07.632,101.96401999999999
2018-10-21,17:46:08.742,104.29117
2018-10-21,17:46:09.832,105.45473999999999
2018-10-21,17:46:10.94,104.44006
2018-10-21,17:46:12.033,103.71664399999999
2018-10-21,17:46:13.127,103.234406
2018-10-21,17:46:14.244,102.379745
2018-10-21,17:46:15.332,101.952415
2018-10-21,17:46:16.432,101.738754
2018-10-21,17:46:17.522,102.02472
2018-10-21,17:46:18.632,102.16771
2018-10-21,17:46:19.723,102.2392
2018-10-21,17:46:20.823,102.05561999999999
2018-10-21,17:46:21.936,101.85469
2018-10-21,17:46:23.012,93.15654
2018-10-21,17:46:24.11,88.428085
2018-10-21,17:46:25.222,85.328964
2018-10-21,17:46:26.361,83.72970600000001
2018-10-21,17:47:27.432,82.93008
2018-10-21,17:47:28.532,82.53026
2018-10-21,17:47:29.635,84.8622
2018-10-21,17:47:30.741,86.46512
2018-10-21,17:47:31.822,87.53392
2018-10-21,17:47:32.923,88.023
2018-10-21,17:47:46.69,88.60503
2018-10-21,17:47:47.772,89.270615
2018-10-21,17:47:48.87,106.85531599999999
2018-10-21,17:47:49.98,116.2572
2018-10-21,17:47:51.083,121.02548
2018-10-21,17:47:52.162,124.31599399999999
2018-10-21,17:47:53.261,125.96126000000001
2018-10-21,17:47:54.372,126.78388999999999
2018-10-21,17:47:55.475,123.10608
2018-10-21,17:47:56.552,120.882034
2018-10-21,17:47:57.662,119.19778400000001
2018-10-21,17:47:58.762,118.92788999999999
2018-10-21,17:47:59.843,118.79293999999999
2018-10-21,17:48:00.962,118.153244
2018-10-21,17:48:02.045,117.83339
2018-10-21,17:48:03.133,116.15253999999999
2018-10-21,17:48:04.242,114.38248
2018-10-21,17:48:05.333,110.94697
2018-10-21,17:48:06.433,108.51633000000001
2018-10-21,17:48:07.535,96.663574
2018-10-21,17:48:08.673,90.7372
2018-10-21,17:48:09.772,87.774
2018-10-21,17:48:10.872,86.292404
2018-10-21,17:48:11.962,85.56875600000001
2018-10-21,17:48:13.052,85.206924
2018-10-21,17:48:14.162,84.96866999999999
2018-10-21,17:48:15.353,84.27116
2018-10-21,17:49:28.383,83.278984
